,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK
,Maracuyá en pulpa sin semilla ( No se puede fraccionar por 500 grs),MIX DE FRUTOS CONGELADOS ,$12.300,KG,,-
,Mango,MIX DE FRUTOS CONGELADOS ,$10.000,KG,,-
,Piña en Trozos,MIX DE FRUTOS CONGELADOS ,$12.000,KG,,-
,Frambuesas,MIX DE FRUTOS CONGELADOS ,$15.000,KG,,-
,Frutillas Congeladas Orgánicas,MIX DE FRUTOS CONGELADOS ,$9.500,KG,,-
,Milanesa de Soja Simple (7 unidades ) Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado,MILANESAS DE SOJA CONGELADAS ,$3.500,UNIDAD,MENDOSOJA,-
,Milanesa de Soja Rellena  (6 unidades )  Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado Rellenas de JAMON Y QUESO,MILANESAS DE SOJA CONGELADAS (MARCA MENDOSOJA),$6.300,UNIDAD,MENDOSOJA,-
,Milanesa de Soja Rellena  (6 unidades )  Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado Rellenas de QUESO,MILANESAS DE SOJA CONGELADAS (MARCA MENDOSOJA),$6.300,UNIDAD,MENDOSOJA,-
,Milanesa de Soja Rellena  (6 unidades )  Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado Rellenas de RICOTA Y NUEZ,MILANESAS DE SOJA CONGELADAS (MARCA MENDOSOJA),$6.300,UNIDAD,MENDOSOJA,-
,"Milanesa de Soja Rellena  (6 unidades )  Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado Rellenas de ESPINACA , CEBOLLA ,QUESO Y RICOTA",MILANESAS DE SOJA CONGELADAS (MARCA MENDOSOJA),$6.300,UNIDAD,MENDOSOJA,-
,"Milanesa de Soja Rellena  (6 unidades )  Porotos de Soja / Harina de Trigo/ Orégano / Provenzal -Pan Rallado Rellenas de TOMATE EN ACEITE , ALBAHACA, QUESO Y RICOTA",MILANESAS DE SOJA CONGELADAS (MARCA MENDOSOJA),$6.300,UNIDAD,MENDOSOJA,-
,Caja  x 10 sobres x 35 grs Sin Sal,CALDOS DE VERDURA S/TACC / VEGANO (MARCA ARGENDIET), $4.740,UNIDAD,ARGENDIET,0
,Caja x 10 sobres x 35 grs Con Sal,"CEREALES GRANIX / AVENA / VARIOS", $2.300,UNIDAD,ARGENDIET,0
,Soja y Orégano,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Soja y Anquito,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Soja y Provenzal,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Lenteja y Zanahoria,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Garbanzo,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Arveja y Cebolla,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Maíz blanco y Aceituna,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Humita,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Humita Brava Ahumada,MEDALLONES VEGETALES SIN TACC 4 unidades,$3.600,UNIDAD,Kislév,-
,Almohaditas rellenas con crema de Limón,CEREALES GRANIX / AVENA / VARIOS,$8.100,KG,,-
,Almohaditas rellenas de chocolate Blanco,"CEREALES GRANIX / AVENA / VARIOS",$9.400,KG,,-
,Almohaditas rellenas con Manzana y Canela,"CEREALES GRANIX / AVENA / VARIOS",$8.100,KG,,-
,Almohaditas rellenas con crema de Avellana,"CEREALES GRANIX / AVENA / VARIOS",$8.100,KG,,-
,Almohaditas rellenas con crema de Frutilla,"CEREALES GRANIX / AVENA / VARIOS",$8.100,KG,,-
,Almohaditas rellenas con crema de Maní,"CEREALES GRANIX / AVENA / VARIOS",$8.100,KG,,-
,Almohaditas 2 Salvados,"CEREALES GRANIX / AVENA / VARIOS",$6.090,KG,,-
,Almohaditas de Avena,"CEREALES GRANIX / AVENA / VARIOS",$6.280,KG,,-
,Aritos con miel,"CEREALES GRANIX / AVENA / VARIOS",$5.340,KG,,-
,Aritos frutales,"CEREALES GRANIX / AVENA / VARIOS",$5.800,KG,,-
,Arroz inflado,"CEREALES GRANIX / AVENA / VARIOS",$6.610,KG,,-
,Avena tradicional,"CEREALES GRANIX / AVENA / VARIOS",$2.500,KG,,-
,Avena instantánea Premium ( Granix ) x 400 grs,"CEREALES GRANIX / AVENA / VARIOS",$2.400,UNIDAD,,-
,Avena Instantánea SIN GLUTEN Certificada pack x 500 grs,"CEREALES GRANIX / AVENA / VARIOS",$4.600,UNIDAD,,-
,Avena instantánea,"CEREALES GRANIX / AVENA / VARIOS",$2.500,KG,,-
,Avena Gruesa SIN GLUTEN Certificada pack x 500 grs,"CEREALES GRANIX / AVENA / VARIOS",$4.600,UNIDAD,,-
,Avena Gruesa,"CEREALES GRANIX / AVENA / VARIOS",$2.500,KG,,-
,Baloncitos de chocolate,"CEREALES GRANIX / AVENA / VARIOS",$6.500,KG,,-
,Copos de Maíz Azucarados (Skarchitos),"CEREALES GRANIX / AVENA / VARIOS",$4.650,KG,,-
,Copos de Maíz con miel,"CEREALES GRANIX / AVENA / VARIOS",$4.700,KG,,-
,Copos de Maíz sin azúcar,"CEREALES GRANIX / AVENA / VARIOS",$4.100,KG,,-
,Fibra Total 4,"CEREALES GRANIX / AVENA / VARIOS",$5.300,KG,,-
,Hojuelas de Semillas de POP (Quinoa / Sesamo / Lino/ Chia ),"CEREALES GRANIX / AVENA / VARIOS",$5.650,KG,,-
,Quinoa POP  Tipo cereal (Harina de quinoa y azúcar organica),"CEREALES GRANIX / AVENA / VARIOS",$5.800,KG,,-
,"Quinoa POP c/ Algarroba (Harina de quinoa, azúcar organica y harina de algarroba)","CEREALES GRANIX / AVENA / VARIOS",$6.370,KG,,-
,"Quinoa POP c/Arándanos (Harina de quinoa, azúcar organica y harina de arándano)","CEREALES GRANIX / AVENA / VARIOS",$6.370,KG,,-
,Yamaní POP Orgánico (Cereal inflado a base de arroz integral yamaní),"CEREALES GRANIX / AVENA / VARIOS",$6.580,KG,,-
,Maiz inflado con azúcar S/TACC x 120 grs (Tutuca),VEGGIE SNACKS SALUDABLES / BOCADITOS SALUDABLES /SURTIDO CROCANTE ORANN /BARRITAS CROC / TUTUCAS ,$1.130,UNIDAD,Timón Cruz,-
,Maíz Inflado Diet S/TACC x 80 grs (Tutuca),VEGGIE SNACKS SALUDABLES / BOCADITOS SALUDABLES /SURTIDO CROCANTE ORANN /BARRITAS CROC / TUTUCAS ,$1.130,UNIDAD,Timón Cruz,-
,Veggie sabor Pizza / Cebolla / Finas Hierbas / Barbacoa x 45 grs,VEGGIE SNACKS SALUDABLES / BOCADITOS SALUDABLES /SURTIDO CROCANTE ORANN /BARRITAS CROC / TUTUCAS ,$860,UNIDAD,Granix,-
,"Mix ENERGETICO Orann (Avena,maní,copos de arroz,almendras,semillas de girasol, sésamo,lino, pasas de uva, frutas deshidratadas, endulzante nutritivo natural y vainilla)",GRANOLAS, $7.000,KG,Orann,-
,"Mix ENERGETICO Orann + Chips de Chocolate (Avena,maní,copos de arroz,almendras, semillas de girasol, sésamo,lino, pasas de uva, frutas deshidratadas, endulzante nutritivo natural y vainilla)",GRANOLAS, $7.230,KG,Orann,-
,"Granola CLÁSICA Orann (Avena arrollada, coco, canela, pasas de uva, maní )",GRANOLAS,$5.200,KG,Orann,-
,"Granola CROCANTE GRANIX (Cereales , coco y miel)",GRANOLAS,$7.200,KG,GRANIX,-
,"Granola LIGHT Orann (Avena arrollada,copos de arroz, copos de maiz, copos crispin)",GRANOLAS,$4.200,KG,Orann,-
,"Granola NEUTRA Orann s/azúcar  (Avena arrollada, almendras, castañas de cajú, semillas lino y de sésamo, arroz inflado, maní, nueces, endulzante nutritivo natural)",GRANOLAS,$7.000,KG,Orann,-
,Stevia Liquida x 100 cc (25 % de regalo ),ENDULZANTE NATURAL ,$3.682,UNIDAD,JUAL,-
,Stevia Líquida x 200 cc (25 % de regalo),ENDULZANTE NATURAL ,$5.530,UNIDAD,JUAL,-
,Stevia en polvo x 90 grs (20 % de regalo),ENDULZANTE NATURAL ,$5.530,UNIDAD,JUAL,-
,Anís Estrellado x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$9.200,UNIDAD,,-
,Matcha x 50 grs Orgánica Doypack,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$7.990,UNIDAD,,-
,Burro a granel en Hojas x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$1.490,UNIDAD,,-
,Boldo a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$2.100,UNIDAD,,-
,Cedrón a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$1.790,UNIDAD,,-
,Hibiscus Flor a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$3.090,UNIDAD,,-
,Manzanilla Flor a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$3.200,UNIDAD,,-
,Menta a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$1.340,UNIDAD,,-
,Peperina a granel x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$2.890,UNIDAD,,-
,Poleo en Hojas x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$1.230,UNIDAD,,-
,Valeriana x 100 grs,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$3.100,UNIDAD,,-
,"TE NEGRO -ILUMINE (Té negro clásico, mezcla de Ceylan y Assam) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,"TE NEGRO - GOLDEN CHAI (Té negro de la india con cúrcuma, jengibre y canela ) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,"TE NEGRO - CHAMAN CHAI (Té negro de la India con canela,jengibre y cardamomo) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TE NEGRO - INCA ROSE (Té Ceylon con bergamota y pétalos de rosa) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,"TE BLANCO - LICHEE (Té blanco, Lychee y Cedrón) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,"TE VERDE - CHAI (Té verde de Oriente con canela ,jengibre y Cardamomo) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TE VERDE- SILENCIO ANDINO (Té verde con Cedrón y cáscara de naranja) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,"TE VERDE -INTI MATCHA (Té verde de japón ,Matcha yuzu cÍtrico y Limón) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TISANAS - VAINILLA ZEN (Infusión de Rooibos y Vainilla) Caja x 15 saq ,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.500,UNIDAD,INTI ZEN,-
,TISANAS - PATAGONIA ROOIBOS ( infusión de Rooibos con frutos rojos ) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.500,UNIDAD,INTI ZEN,-
,"TISANAS - INTI YOGA (Infusión de Lemongrass, rosa mosqueta y jengibre) Caja x 15 saq",TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TISANAS - INTI GREY (Té negro de Ceylan ) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TISANAS - CALMA ANDINA (infusión de Cedrón con cascaritas de naranja) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TISANAS- DULCE MANZANILLA ( Infusión de Manzanilla y Miel) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TISANAS - PAMPA DULCE (Té con manzana y canela) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,MIX DE TISANAS -HERBAL (Contiene la colección de las 4 tisanas) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.500,UNIDAD,INTI ZEN,-
,8 BLENDS (Contiene la colección de Té Negro / Té Blanco / Té Verde ) Caja x 15 saq,TES Y TIZANAS / MATCHA / YERBA MATE Agroecologica/ HIERBAS A GRANEL,$4.000,UNIDAD,INTI ZEN,-
,TE VERDE EN HEBRAS ORGANICO - 80 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$3.500,UNIDAD,INTI ZEN,-
,TE NEGRO EN HEBRAS ORGANICO- 80 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$3.500,UNIDAD,INTI ZEN,-
,TE VERDE A GRANEL X 100 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$550,UNIDAD,,-
,TE ROJO A GRANEL X 100 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$550,UNIDAD,,-
,TE NEGRO A GRANEL X 100 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$550,UNIDAD,,-
,YERBA MATE ORGÁNICA X  500 Grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$4.870,UNIDAD,Ka- á,-
,YERBA MATE CON PALOS  agroecologica S/TACC x 500 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$5.000,UNIDAD,KALENA,-
,YERBA MATE SIN PALOS agroecologica S/TACC x 500 grs,HUMMUS SIN TACC  S/TACC / PREMEZCLA,$6.000,UNIDAD,KALENA,-
,Amaranto,SEMILLAS,$7.760,KG,,-
,Amapola Azul de Turquía,SEMILLAS,$16.800,KG,,-
,Chía de primera,SEMILLAS,$5.000,KG,,-
,Girasol Pelado,SEMILLAS,$3.460,KG,,-
,Lino de primera,SEMILLAS,$1.780,KG,,-
,Mijo Pelado,SEMILLAS,$2.360,KG,,-
,Semillas de Fenogreco,SEMILLAS,$5.860,KG,,-
,Quinoa Real Boliviana,SEMILLAS,$8.820,KG,,-
,Sésamo Integral Premium,SEMILLAS,$4.820,KG,,-
,Sésamo Negro de primera,SEMILLAS,$9.880,KG,,-
,Sésamo Blanco (India ),SEMILLAS,$9.880,KG,,-
,Zapallo pelado ( Primera Calidad ),SEMILLAS,$18.900,KG,,-
,Mix Semillas (Lino / Girasol / Chia / Sésamo / Amaranto),SEMILLAS,$4.792,KG,,-
,Cous Cous,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$12.240,KG,,-
,Fécula de Mandioca,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.500,KG,,-
,Fariña  de Mandioca,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$4.200,KG,,-
,Fécula de Mandioca s/TACC x 450 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.792,UNIDAD,,-
,Fécula de Maiz s/ TACC x 450 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$1.722,UNIDAD,,-
,Fécula de Trigo,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.300,KG,,-
,Germen de Trigo,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.700,KG,,-
,Harina de Algarroba Negra ( Tipo Cacao ),HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$11.980,KG,,-
,Harina de Algarroba blanca,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$6.300,KG,,-
,Harina de Algarroba s/ TACC x 200 grs,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS, $3.598,UNIDAD,,-
,Harina de Almendra ( con piel ),HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$16.160,KG,,-
,Harina de Almendra (sin piel),HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$19.320,KG,,-
,Harina de Arroz,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.320,KG,,-
,Harina de Arroz s / TACC x kg.,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS, $3.654,UNIDAD,,-
,Harina de Avena,HARINAS COMUNES Y SIN TACC / PREMEZCLAS Y FECULAS SIN TACC /VARIOS,$2.200,KG,,-
