SKU,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK,COSTO,FRACCIONAMIENTO
,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS, $19.400,KG,,0,0,"100g, 250g, 500g"
,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS, $20.200,KG ,,-,0,"100g, 250g, 500g"
,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS, $17.800,KG ,,-,0,"100g, 250g, 500g"
,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS, $15.000,KG ,,-,0,"100g, 250g, 500g"
,Avellanas repeladas grandes,FRUTOS SECOS / FRUTAS DESECADAS, $27.800,KG ,,-,0,"100g, 250g, 500g"
,Castañas de Cajú W4 Natural sin sal,FRUTOS SECOS / FRUTAS DESECADAS, $15.600,KG ,,-,0,"100g, 250g, 500g"
,Chips de bananas en rodajas,FRUTOS SECOS / FRUTAS DESECADAS, $10.520,KG ,,-,0,"100g, 250g, 500g"
,Ciruelas D'Agen S/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS, $5.670,KG ,,-,0,"100g, 250g, 500g"
,Damasco S/ Carozo mediano,FRUTOS SECOS / FRUTAS DESECADAS, $7.500,KG ,,-,0,"100g, 250g, 500g"
,Dátiles de Egipto C/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS, $9.240,KG ,,-,0,"100g, 250g, 500g"
,Garrapiñada de Maní,FRUTOS SECOS / FRUTAS DESECADAS, $5.300,KG ,,-,0,"100g, 250g, 500g"
,Higos negros tiernizados,FRUTOS SECOS / FRUTAS DESECADAS, $7.500,KG ,,-,0,"100g, 250g, 500g"
,Jengibre glaseado en cubo o lonjitas,FRUTOS SECOS / FRUTAS DESECADAS, $19.400,KG ,,-,0,"100g, 250g, 500g"
,Maiz frito sabor tradicional,FRUTOS SECOS / FRUTAS DESECADAS, $12.180,KG ,,-,0,"100g, 250g, 500g"
,Maní  japonés PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS, $5.300,KG ,,-,0,"100g, 250g, 500g"
,Maní con cáscara,FRUTOS SECOS / FRUTAS DESECADAS, $5.300,KG ,,-,0,"100g, 250g, 500g"
,Maní repelado con sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS, $4.600,KG ,,-,0,"100g, 250g, 500g"
,Maní repelado sin sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS, $4.600,KG ,,-,0,"100g, 250g, 500g"
,Medallón de Durazno,FRUTOS SECOS / FRUTAS DESECADAS, $9.860,KG ,,-,0,"100g, 250g, 500g"
,Naranja en gajos glaseada Sin stock,FRUTOS SECOS / FRUTAS DESECADAS, $0,KG ,,0,0,"100g, 250g, 500g"
,Nuez con Cáscara Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS, $10.560,KG ,,-,0,"100g, 250g, 500g"
,Nuez pelada Mariposa Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS, $25.600,KG ,,-,0,"100g, 250g, 500g"
,Papaya en cubos,FRUTOS SECOS / FRUTAS DESECADAS, $18.000,KG ,,-,0,"100g, 250g, 500g"
,Pasas Rojas Jumbo  sin semillas,FRUTOS SECOS / FRUTAS DESECADAS, $9.440,KG ,,-,0,"100g, 250g, 500g"
,Pasas de Uva Jumbo sin semillas SIN STOCK,FRUTOS SECOS / FRUTAS DESECADAS, $7.340,KG ,,-,0,"100g, 250g, 500g"
,Pasas de Uva Morenas Flame sin semillas,FRUTOS SECOS / FRUTAS DESECADAS, $5.040,KG ,,-,0,"100g, 250g, 500g"
,Pasas de Uva Rubias Premium,FRUTOS SECOS / FRUTAS DESECADAS, $10.000,KG ,,-,0,"100g, 250g, 500g"
,Peras en mitades desecadas,FRUTOS SECOS / FRUTAS DESECADAS, $12.600,KG ,,-,0,"100g, 250g, 500g"
,Pistachos con cáscara tostados y salados,FRUTOS SECOS / FRUTAS DESECADAS, $35.600,KG ,,-,0,"100g, 250g, 500g"
,Tomates deshidratados,FRUTOS SECOS / FRUTAS DESECADAS, $16.560,KG ,,-,0,"100g, 250g, 500g"
,Con pulpa de Ananá parcialmente descremado,YOGURT, $0,UNIDAD,,0,0,
,Con pulpa de Durazno,YOGURT, $3.800,UNIDAD,,-,0,
,Con pulpa de Frutilla parcialmente descremado con azúcar,YOGURT, $3.800,UNIDAD,,0,0,
,Natural descremado sin azúcar,YOGURT, $3.800,UNIDAD,,-,0,
,Natural entero Tipo Griego con azúcar,YOGURT, $3.800,UNIDAD,,-,0,
,Alfajor Integral de Dulce de Leche Sin Azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES, $0,UNIDAD,Murke,0,,
